month,level_1,level_2,value
1965-11,Number Of Air Passenger Departures,Other Regions,na
1965-12,Number Of Air Passenger Departures,South East Asia,na
1965-12,Number Of Air Passenger Departures,North East Asia,na
1965-12,Number Of Air Passenger Departures,South Asia,na
1965-12,Number Of Air Passenger Departures,Middle East,na
1965-12,Number Of Air Passenger Departures,Oceania,na
1965-12,Number Of Air Passenger Departures,Europe,na
1965-12,Number Of Air Passenger Departures,North America,na
1965-12,Number Of Air Passenger Departures,Other Regions,na
1966-01,Number Of Air Passenger Departures,South East Asia,na
1966-01,Number Of Air Passenger Departures,North East Asia,na
1966-01,Number Of Air Passenger Departures,South Asia,na
1966-01,Number Of Air Passenger Departures,Middle East,na
1966-01,Number Of Air Passenger Departures,Oceania,na
1966-01,Number Of Air Passenger Departures,Europe,na
1966-01,Number Of Air Passenger Departures,North America,na
1966-01,Number Of Air Passenger Departures,Other Regions,na
1966-02,Number Of Air Passenger Departures,South East Asia,na
1966-02,Number Of Air Passenger Departures,North East Asia,na
1966-02,Number Of Air Passenger Departures,South Asia,na
1966-02,Number Of Air Passenger Departures,Middle East,na
1966-02,Number Of Air Passenger Departures,Oceania,na
1966-02,Number Of Air Passenger Departures,Europe,na
1966-02,Number Of Air Passenger Departures,North America,na
1966-02,Number Of Air Passenger Departures,Other Regions,na
1966-03,Number Of Air Passenger Departures,South East Asia,na
1966-03,Number Of Air Passenger Departures,North East Asia,na
1966-03,Number Of Air Passenger Departures,South Asia,na
1966-03,Number Of Air Passenger Departures,Middle East,na
1966-03,Number Of Air Passenger Departures,Oceania,na
1966-03,Number Of Air Passenger Departures,Europe,na
1966-03,Number Of Air Passenger Departures,North America,na
1966-03,Number Of Air Passenger Departures,Other Regions,na
1966-04,Number Of Air Passenger Departures,South East Asia,na
1966-04,Number Of Air Passenger Departures,North East Asia,na
1966-04,Number Of Air Passenger Departures,South Asia,na
1966-04,Number Of Air Passenger Departures,Middle East,na
1966-04,Number Of Air Passenger Departures,Oceania,na
1966-04,Number Of Air Passenger Departures,Europe,na
1966-04,Number Of Air Passenger Departures,North America,na
1966-04,Number Of Air Passenger Departures,Other Regions,na
1966-05,Number Of Air Passenger Departures,South East Asia,na
1966-05,Number Of Air Passenger Departures,North East Asia,na
1966-05,Number Of Air Passenger Departures,South Asia,na
1966-05,Number Of Air Passenger Departures,Middle East,na
1966-05,Number Of Air Passenger Departures,Oceania,na
1966-05,Number Of Air Passenger Departures,Europe,na
1966-05,Number Of Air Passenger Departures,North America,na
1966-05,Number Of Air Passenger Departures,Other Regions,na
1966-06,Number Of Air Passenger Departures,South East Asia,na
1966-06,Number Of Air Passenger Departures,North East Asia,na
1966-06,Number Of Air Passenger Departures,South Asia,na
1966-06,Number Of Air Passenger Departures,Middle East,na
1966-06,Number Of Air Passenger Departures,Oceania,na
1966-06,Number Of Air Passenger Departures,Europe,na
1966-06,Number Of Air Passenger Departures,North America,na
1966-06,Number Of Air Passenger Departures,Other Regions,na
